ConFemMat: ../DataExamples/E04/E4-01
Found specified element set: prop1
Found specified material: mat1 of type: RCBEAM
1, 3, eps 0.000018, kap 0.000200, N  -0.000000, M 0.003695, zt 0.087682, zc 0.200000
2, 3, eps 0.000035, kap 0.000400, N  -0.000000, M 0.007387, zt 0.087621, zc 0.200000
3, 2, eps 0.000053, kap 0.000600, N  -0.000008, M 0.011077, zt 0.087549, zc 0.200000
4, 2, eps 0.000070, kap 0.000800, N  -0.000004, M 0.014764, zt 0.087493, zc 0.200000
5, 2, eps 0.000087, kap 0.001000, N  -0.000002, M 0.018447, zt 0.087432, zc 0.200000
6, 2, eps 0.000105, kap 0.001200, N  -0.000001, M 0.022129, zt 0.087369, zc 0.200000
7, 2, eps 0.000122, kap 0.001400, N  -0.000001, M 0.025807, zt 0.087305, zc 0.200000
8, 2, eps 0.000140, kap 0.001600, N  -0.000000, M 0.029482, zt 0.087241, zc 0.200000
9, 2, eps 0.000157, kap 0.001800, N  -0.000000, M 0.033155, zt 0.087176, zc 0.200000
10, 2, eps 0.000174, kap 0.002000, N  -0.000000, M 0.036824, zt 0.087110, zc 0.200000
11, 2, eps 0.000191, kap 0.002200, N  -0.000000, M 0.040491, zt 0.087044, zc 0.200000
12, 2, eps 0.000209, kap 0.002400, N  -0.000000, M 0.044155, zt 0.086978, zc 0.200000
13, 2, eps 0.000226, kap 0.002600, N  -0.000000, M 0.047815, zt 0.086910, zc 0.200000
14, 2, eps 0.000243, kap 0.002800, N  -0.000000, M 0.051473, zt 0.086843, zc 0.200000
15, 2, eps 0.000260, kap 0.003000, N  -0.000000, M 0.055127, zt 0.086774, zc 0.200000
16, 2, eps 0.000277, kap 0.003200, N  -0.000000, M 0.058778, zt 0.086705, zc 0.200000
17, 2, eps 0.000295, kap 0.003400, N  -0.000000, M 0.062426, zt 0.086636, zc 0.200000
18, 2, eps 0.000312, kap 0.003600, N  -0.000000, M 0.066070, zt 0.086566, zc 0.200000
19, 2, eps 0.000329, kap 0.003800, N  -0.000000, M 0.069712, zt 0.086495, zc 0.200000
20, 2, eps 0.000346, kap 0.004000, N  -0.000000, M 0.073349, zt 0.086423, zc 0.200000
21, 2, eps 0.000363, kap 0.004200, N  -0.000000, M 0.076984, zt 0.086352, zc 0.200000
22, 2, eps 0.000380, kap 0.004400, N  -0.000000, M 0.080615, zt 0.086279, zc 0.200000
23, 2, eps 0.000397, kap 0.004600, N  -0.000000, M 0.084242, zt 0.086206, zc 0.200000
24, 2, eps 0.000413, kap 0.004800, N  -0.000000, M 0.087866, zt 0.086132, zc 0.200000
25, 2, eps 0.000430, kap 0.005000, N  -0.000000, M 0.091487, zt 0.086057, zc 0.200000
26, 2, eps 0.000447, kap 0.005200, N  -0.000000, M 0.095103, zt 0.085982, zc 0.200000
27, 2, eps 0.000464, kap 0.005400, N  -0.000000, M 0.098716, zt 0.085906, zc 0.200000
28, 2, eps 0.000481, kap 0.005600, N  -0.000000, M 0.102326, zt 0.085830, zc 0.200000
29, 2, eps 0.000497, kap 0.005800, N  -0.000000, M 0.105931, zt 0.085752, zc 0.200000
30, 2, eps 0.000514, kap 0.006000, N  -0.000000, M 0.109533, zt 0.085674, zc 0.200000
31, 2, eps 0.000531, kap 0.006200, N  -0.000000, M 0.113130, zt 0.085596, zc 0.200000
32, 2, eps 0.000547, kap 0.006400, N  -0.000000, M 0.116724, zt 0.085516, zc 0.200000
33, 2, eps 0.000564, kap 0.006600, N  -0.000000, M 0.120314, zt 0.085436, zc 0.200000
34, 2, eps 0.000580, kap 0.006800, N  -0.000000, M 0.123899, zt 0.085355, zc 0.200000
35, 2, eps 0.000597, kap 0.007000, N  -0.000000, M 0.127481, zt 0.085273, zc 0.200000
36, 2, eps 0.000613, kap 0.007200, N  -0.000000, M 0.131058, zt 0.085191, zc 0.200000
37, 2, eps 0.000630, kap 0.007400, N  -0.000000, M 0.134631, zt 0.085108, zc 0.200000
38, 2, eps 0.000646, kap 0.007600, N  -0.000000, M 0.138199, zt 0.085023, zc 0.200000
39, 2, eps 0.000663, kap 0.007800, N  -0.000000, M 0.141763, zt 0.084938, zc 0.200000
40, 2, eps 0.000679, kap 0.008000, N  -0.000000, M 0.145323, zt 0.084853, zc 0.200000
41, 2, eps 0.000695, kap 0.008200, N  -0.000000, M 0.148878, zt 0.084766, zc 0.200000
42, 2, eps 0.000711, kap 0.008400, N  -0.000000, M 0.152428, zt 0.084678, zc 0.200000
43, 2, eps 0.000727, kap 0.008600, N  -0.000000, M 0.155973, zt 0.084590, zc 0.200000
44, 2, eps 0.000744, kap 0.008800, N  -0.000000, M 0.159514, zt 0.084501, zc 0.200000
45, 2, eps 0.000760, kap 0.009000, N  -0.000000, M 0.163050, zt 0.084410, zc 0.200000
46, 2, eps 0.000776, kap 0.009200, N  -0.000000, M 0.166581, zt 0.084319, zc 0.200000
47, 2, eps 0.000792, kap 0.009400, N  -0.000000, M 0.170107, zt 0.084227, zc 0.200000
48, 2, eps 0.000808, kap 0.009600, N  -0.000000, M 0.173628, zt 0.084134, zc 0.200000
49, 2, eps 0.000824, kap 0.009800, N  -0.000000, M 0.177143, zt 0.084040, zc 0.200000
50, 2, eps 0.000839, kap 0.010000, N  -0.000000, M 0.180654, zt 0.083945, zc 0.200000
51, 2, eps 0.000855, kap 0.010200, N  -0.000000, M 0.184159, zt 0.083849, zc 0.200000
52, 2, eps 0.000871, kap 0.010400, N  -0.000000, M 0.187658, zt 0.083751, zc 0.200000
53, 2, eps 0.000887, kap 0.010600, N  -0.000000, M 0.191152, zt 0.083653, zc 0.200000
54, 2, eps 0.000902, kap 0.010800, N  -0.000000, M 0.194640, zt 0.083554, zc 0.200000
55, 2, eps 0.000918, kap 0.011000, N  -0.000000, M 0.198122, zt 0.083453, zc 0.200000
56, 2, eps 0.000934, kap 0.011200, N  -0.000000, M 0.201599, zt 0.083352, zc 0.200000
57, 2, eps 0.000949, kap 0.011400, N  -0.000000, M 0.205069, zt 0.083249, zc 0.200000
58, 2, eps 0.000964, kap 0.011600, N  -0.000000, M 0.208533, zt 0.083145, zc 0.200000
59, 2, eps 0.000980, kap 0.011800, N  -0.000000, M 0.211991, zt 0.083040, zc 0.200000
60, 2, eps 0.001008, kap 0.012000, N  -0.000000, M 0.212172, zt 0.083979, zc 0.200000
61, 2, eps 0.001036, kap 0.012200, N  -0.000000, M 0.212339, zt 0.084897, zc 0.200000
62, 2, eps 0.001064, kap 0.012400, N  -0.000000, M 0.212503, zt 0.085790, zc 0.200000
63, 2, eps 0.001092, kap 0.012600, N  -0.000000, M 0.212662, zt 0.086659, zc 0.200000
64, 2, eps 0.001120, kap 0.012800, N  -0.000000, M 0.212817, zt 0.087506, zc 0.200000
