Time,   1.0000
     1, PROP1,     MAT1M1,   T2D2,   0,     1.0000,    0.2500,  1.173308e-03,  2.346616e+02,  5.000000e+02,
     2, PROP1,     MAT1M1,   T2D2,   0,     2.0000,    2.0000,  1.759289e-03,  3.518578e+02,  5.000000e+02,
     3, PROP1,     MAT1M1,   T2D2,   0,     3.6875,    0.2500,  2.178616e-03,  4.357232e+02,  5.000000e+02,
     4, PROP1,     MAT1M1,   T2D2,   0,     5.3750,    2.0000,  1.303211e-03,  2.606422e+02,  5.000000e+02,
     5, PROP1,     MAT1M1,   T2D2,   0,     7.5000,    3.7500,  2.192803e-04,  4.385606e+01,  5.000000e+02,
     6, PROP1,     MAT1M1,   T2D2,   0,     7.5000,    0.2500,  1.666640e-03,  3.333280e+02,  5.000000e+02,
     7, PROP1,     MAT1M1,   T2D2,   0,     9.6250,    2.0000,  1.600886e-03,  3.201772e+02,  5.000000e+02,
     8, PROP1,     MAT1M1,   T2D2,   0,    10.3125,    3.7500,  1.872040e-03,  3.744081e+02,  5.000000e+02,
     9, PROP1,     MAT1M1,   T2D2,   0,     6.6000,    2.6000,  6.311543e-04,  1.262309e+02,  5.000000e+02,
    10, PROP1,     MAT1M1,   T2D2,   0,     6.6500,    2.3750,  4.927200e-04,  9.854399e+01,  5.000000e+02,
    11, PROP1,     MAT1M1,   T2D2,   0,     7.5000,    3.0250,  7.951131e-04,  1.590226e+02,  5.000000e+02,
    12, PROP1,     MAT1M1,   T2D2,   0,     7.5000,    0.8750,  7.579980e-04,  1.515996e+02,  5.000000e+02,
    13, PROP1,     MAT1M1,   T2D2,   0,     8.4025,    1.3000,  5.891472e-04,  1.178294e+02,  5.000000e+02,
    14, PROP1,     MAT1M1,   T2D2,   0,     8.3500,    1.5250,  5.276888e-04,  1.055378e+02,  5.000000e+02,
    15, PROP2,     MAT2M1,   T2D2,   0,     1.0000,    2.0000, -1.313821e-03, -3.941463e+01,  4.000000e+01,
    16, PROP2,     MAT2M1,   T2D2,   0,     3.0000,    2.0000, -1.125702e-03, -3.377105e+01,  4.000000e+01,
    17, PROP2,     MAT2M1,   T2D2,   0,     3.0000,    3.7500, -6.518378e-04, -1.955513e+01,  4.000000e+01,
    18, PROP2,     MAT2M1,   T2D2,   0,     4.6875,    2.0000, -7.778726e-04, -2.333618e+01,  4.000000e+01,
    19, PROP2,     MAT2M1,   T2D2,   0,     4.6875,    3.7500, -9.259112e-04, -2.777734e+01,  4.000000e+01,
    20, PROP2,     MAT2M1,   T2D2,   0,    10.3125,    3.0000, -1.358838e-03, -4.002792e+01,  4.000000e+01,
    21, PROP2,     MAT2M1,   T2D2,   0,    10.3125,    0.2500, -1.218224e-04, -3.654671e+00,  4.000000e+01,
    22, PROP2,     MAT2M1,   T2D2,   0,     5.5375,    3.1750, -6.565283e-04, -1.969585e+01,  4.000000e+01,
    23, PROP2,     MAT2M1,   T2D2,   0,     6.0125,    3.6000, -8.929225e-04, -2.678768e+01,  4.000000e+01,
    24, PROP2,     MAT2M1,   T2D2,   0,     6.1750,    1.9500, -8.277297e-04, -2.483189e+01,  4.000000e+01,
    25, PROP2,     MAT2M1,   T2D2,   0,     7.0750,    3.0250, -6.246998e-04, -1.874099e+01,  4.000000e+01,
    26, PROP2,     MAT2M1,   T2D2,   0,     7.0750,    3.4500, -4.682711e-04, -1.404813e+01,  4.000000e+01,
    27, PROP2,     MAT2M1,   T2D2,   0,     7.9250,    3.0250, -6.622354e-04, -1.986706e+01,  4.000000e+01,
    28, PROP2,     MAT2M1,   T2D2,   0,     7.9250,    2.6000, -9.108821e-05, -2.732646e+00,  4.000000e+01,
    29, PROP2,     MAT2M1,   T2D2,   0,     7.0750,    1.3000, -9.380596e-05, -2.814179e+00,  4.000000e+01,
    30, PROP2,     MAT2M1,   T2D2,   0,     7.0750,    0.8750, -5.580038e-04, -1.674012e+01,  4.000000e+01,
    31, PROP2,     MAT2M1,   T2D2,   0,     7.9250,    0.8750, -5.955394e-04, -1.786618e+01,  4.000000e+01,
    32, PROP2,     MAT2M1,   T2D2,   0,     7.9250,    0.4500, -3.945683e-04, -1.183705e+01,  4.000000e+01,
    33, PROP2,     MAT2M1,   T2D2,   0,     8.8275,    1.9500, -9.448074e-04, -2.834422e+01,  4.000000e+01,
    34, PROP2,     MAT2M1,   T2D2,   0,     9.4650,    0.7750, -7.960074e-04, -2.388022e+01,  4.000000e+01,
    35, PROP2,     MAT2M1,   T2D2,   0,     8.9875,    0.3500, -8.256526e-04, -2.476958e+01,  4.000000e+01,
    36, PROP2,     MAT2M1,   T2D2,   0,     6.1750,    3.0250, -5.476681e-05, -1.643004e+00,  4.000000e+01,
