 element       force
       1    238.1467
       2    358.0077
       3    442.7225
       4    253.9607
       5     26.0660
       6    342.9523
       7    313.4441
       8    350.4138
       9    123.4084
      10     96.3320
      11    155.5123
      12    148.3850
      13    115.3681
      14    103.3304
      15    -40.0000
      16    -34.3613
      17    -19.8456
      18    -22.7380
      19    -28.5794
      20    -40.0000
      21     -2.1722
      22    -19.2510
      23    -26.2129
      24    -24.2727
      25    -18.3273
      26    -13.7549
      27    -19.4524
      28     -2.6753
      29     -2.7514
      30    -16.3623
      31    -17.4873
      32    -11.5699
      33    -27.7521
      34    -23.3814
      35    -24.2280
      36     -1.6078
