Time,   1.0001
     8, PROP2,      MAT21,   T2D2,   0,    -0.0500,    0.3000, -3.010229e-07, -9.030686e-03,  4.000000e+01,
     9, PROP2,      MAT21,   T2D2,   0,     0.1500,    0.1000, -8.361255e-05, -2.508376e+00,  4.000000e+01,
    10, PROP2,      MAT21,   T2D2,   0,     0.1500,    0.3000, -1.176206e-03, -3.528618e+01,  4.000000e+01,
    11, PROP2,      MAT21,   T2D2,   0,     0.6500,    0.7000, -1.042828e-03, -3.128484e+01,  4.000000e+01,
    12, PROP2,      MAT21,   T2D2,   0,     0.6000,    0.3000, -1.182460e-04, -3.547380e+00,  4.000000e+01,
    13, PROP2,      MAT21,   T2D2,   0,     0.2000,    0.7000, -4.129999e-07, -1.239000e-02,  4.000000e+01,
    14, PROP2,      MAT21,   T2D2,   0,     0.8500,    0.7000, -8.618584e-05, -2.585575e+00,  4.000000e+01,
     1, PROP1,      MAT31,   T2D2,   0,     0.4000,    0.3000,  1.041345e-02,  5.016753e+02,  5.016492e+02,
     2, PROP1,      MAT31,   T2D2,   0,     0.4000,    0.7000,  8.761052e-06,  1.752210e+00,  5.000000e+02,
     3, PROP1,      MAT31,   T2D2,   0,     0.2000,    0.5000,  5.252455e-03,  5.005801e+02,  5.005359e+02,
     4, PROP1,      MAT31,   T2D2,   0,     0.6000,    0.5000,  9.406411e-04,  1.881282e+02,  5.000000e+02,
     5, PROP1,      MAT31,   T2D2,   0,     0.1500,    0.9000,  8.655598e-03,  5.013043e+02,  5.012599e+02,
     6, PROP1,      MAT31,   T2D2,   0,     0.6500,    0.9000,  7.851591e-03,  5.011291e+02,  5.010818e+02,
     7, PROP1,      MAT31,   T2D2,   0,    -0.0500,    0.5000,  2.499615e-03,  4.999231e+02,  5.000000e+02,
