**                                  bottom                       top
**     x       y     phicB    as_x    as_y     phicT    as_x    as_y     phi_1     v_1     v_2
  0.5000  0.1667    -45.00 3.53905 2.99294     45.00 1.24493 1.79104     41.74 -0.0252  0.0290
  0.7000  0.1000    -45.00 4.29024 3.50123     45.00 0.61071 1.39972     40.43 -0.0259  0.0285
  0.5000  0.3000    -45.00 3.55257 2.98672     45.00 1.30773 1.87358     41.68 -0.0252  0.0290
  0.3000  0.1000    -45.00 2.94027 2.67972     45.00 1.99241 2.25296     43.49 -0.0243  0.0298
  0.8333  0.5000    -45.00 3.31967 2.72638     45.00 0.87268 1.46597     40.97 -0.0078 -0.0206
  0.9000  0.3000    -45.00 2.95288 2.14957     45.00 1.07903 1.88234     39.37 -0.0072 -0.0208
  0.9000  0.7000    -45.00 3.40411 3.08549     45.00 0.57744 0.89606     42.71 -0.0084 -0.0204
  0.7000  0.5000    -45.00 3.41680 2.79222     45.00 0.83177 1.45636     40.82 -0.0077 -0.0207
  0.5000  0.8333    -45.00 2.74396 3.23066     45.00 1.41201 0.92531     48.34 -0.0112  0.0250
  0.3000  0.9000    -45.00 2.05037 2.78771     45.00 1.92208 1.18474     50.26 -0.0104  0.0254
  0.5000  0.7000    -45.00 2.80954 3.32992     45.00 1.39649 0.87610     48.53 -0.0111  0.0250
  0.7000  0.9000    -45.00 3.19274 3.35913     45.00 0.72560 0.55920     46.22 -0.0121  0.0246
  0.1667  0.5000    -45.00 2.98793 3.52542     45.00 1.81293 1.27544     48.19 -0.0251 -0.0282
  0.1000  0.3000    -45.00 2.67610 2.93399     45.00 2.27029 2.01241     46.49 -0.0242 -0.0290
  0.3000  0.5000    -45.00 2.98587 3.54080     45.00 1.88939 1.33446     48.25 -0.0251 -0.0282
  0.1000  0.7000    -45.00 3.48621 4.26551     45.00 1.43213 0.65283     49.50 -0.0257 -0.0277
  1.5000  0.1667    -45.00 4.43334 2.30682     32.82 0.00000 0.55095     29.27 -0.0091  0.0209
  1.7000  0.1000    -45.00 4.85407 2.62854     29.76 0.00000 0.14688     28.89 -0.0093  0.0208
  1.5000  0.3000    -45.00 4.36754 2.18443     33.53 0.00000 0.70824     28.95 -0.0093  0.0208
  1.3000  0.1000    -45.00 4.17099 2.26451     37.51 0.00000 0.93643     31.12 -0.0085  0.0212
  1.8333  0.5000    -45.00 4.02381 1.93463     29.48 0.00000 0.33861     27.14 -0.0032 -0.0188
  1.9000  0.3000    -45.00 3.72364 1.47201     30.96 0.00000 0.76050     25.56 -0.0026 -0.0189
  1.9000  0.7000    -45.00 4.12062 2.24028      0.00 0.00000 0.00000     27.84 -0.0034 -0.0187
  1.7000  0.5000    -45.00 4.08670 1.97398     29.16 0.00000 0.30563     27.09 -0.0031 -0.0188
  1.5000  0.8333    -45.00 3.57073 2.24611     36.90 0.00000 0.43410     33.30 -0.0095  0.0267
  1.3000  0.9000    -45.00 3.05410 1.84844     43.95 0.00000 1.09532     34.05 -0.0091  0.0268
  1.5000  0.7000    -45.00 3.65060 2.39657     35.68 0.00000 0.22447     33.83 -0.0092  0.0268
  1.7000  0.9000    -45.00 3.89414 2.30052      0.00 0.00000 0.00000     30.54 -0.0107  0.0262
  1.1667  0.5000    -45.00 4.02215 2.66609     40.75 0.00000 0.79881     34.99 -0.0107 -0.0195
  1.1000  0.3000    -45.00 3.86516 2.28183     45.00 0.01761 1.60094     33.91 -0.0103 -0.0197
  1.3000  0.5000    -45.00 3.99080 2.64448     40.88 0.00000 0.80985     35.01 -0.0107 -0.0195
  1.1000  0.7000    -45.00 4.35824 3.21138     38.57 0.00000 0.26368     36.74 -0.0113 -0.0191
  2.5000  0.1667    -45.00 4.72633 1.62990      0.00 0.00000 0.00000     18.31 -0.0048  0.0122
  2.7000  0.1000    -45.00 4.90092 1.78830      0.00 0.00000 0.00000     18.23 -0.0048  0.0122
  2.5000  0.3000    -45.00 4.68411 1.54628      0.00 0.00000 0.00000     18.23 -0.0048  0.0122
  2.3000  0.1000    -45.00 4.62579 1.63396      0.00 0.00000 0.00000     19.17 -0.0046  0.0122
  2.8333  0.5000    -45.00 4.33893 1.50581      0.00 0.00000 0.00000     16.93 -0.0043 -0.0187
  2.9000  0.3000    -45.00 4.04552 1.02055   -344.40 0.00000 0.10778     15.14 -0.0037 -0.0188
  2.9000  0.7000    -45.00 4.48180 1.84713      0.00 0.00000 0.00000     16.85 -0.0043 -0.0187
  2.7000  0.5000    -45.00 4.36115 1.52285      0.00 0.00000 0.00000     17.05 -0.0043 -0.0187
  2.5000  0.8333    -45.00 4.14923 1.79422      0.00 0.00000 0.00000     21.73  0.0012  0.0139
  2.3000  0.9000    -45.00 4.04122 1.66857      0.00 0.00000 0.00000     21.73  0.0012  0.0139
  2.5000  0.7000    -45.00 4.21820 1.91891      0.00 0.00000 0.00000     22.10  0.0013  0.0139
  2.7000  0.9000    -45.00 4.17042 1.71574      0.00 0.00000 0.00000     20.66  0.0010  0.0139
  2.1667  0.5000    -45.00 4.50696 1.89495      0.00 0.00000 0.00000     22.32 -0.0090 -0.0166
  2.1000  0.3000    -45.00 4.33294 1.55681     24.22 0.00000 0.38994     22.04 -0.0089 -0.0167
  2.3000  0.5000    -45.00 4.52339 1.90294      0.00 0.00000 0.00000     22.25 -0.0090 -0.0166
  2.1000  0.7000    -45.00 4.76645 2.33988      0.00 0.00000 0.00000     24.04 -0.0095 -0.0163
  3.5000  0.1667    -45.00 4.35096 1.08581      0.00 0.00000 0.00000      9.45  0.0031  0.0137
  3.7000  0.1000    -45.00 4.32838 1.13807      0.00 0.00000 0.00000      9.16  0.0030  0.0137
  3.5000  0.3000    -45.00 4.28398 0.96039      0.00 0.00000 0.00000      9.35  0.0031  0.0137
  3.3000  0.1000    -45.00 4.42316 1.20515      0.00 0.00000 0.00000      9.84  0.0032  0.0137
  3.8333  0.5000    -45.00 3.76609 0.97286      0.00 0.00000 0.00000      6.87 -0.0015 -0.0214
  3.9000  0.3000    -45.00 3.43480 0.41959      0.00 0.00000 0.00000      4.93 -0.0008 -0.0214
  3.9000  0.7000    -45.00 3.92854 1.36059      0.00 0.00000 0.00000      5.69 -0.0011 -0.0214
  3.7000  0.5000    -45.00 3.78883 0.99172      0.00 0.00000 0.00000      7.12 -0.0016 -0.0214
  3.5000  0.8333    -45.00 3.70302 1.26715      0.00 0.00000 0.00000     12.99  0.0098  0.0155
  3.3000  0.9000    -45.00 3.81761 1.26217      0.00 0.00000 0.00000     13.22  0.0099  0.0155
  3.5000  0.7000    -45.00 3.79556 1.43246      0.00 0.00000 0.00000     13.44  0.0099  0.0155
  3.7000  0.9000    -45.00 3.53429 1.06702      0.00 0.00000 0.00000     12.52  0.0097  0.0156
  3.1667  0.5000    -45.00 4.24267 1.34177      0.00 0.00000 0.00000     13.95 -0.0069 -0.0182
  3.1000  0.3000    -45.00 4.06584 0.98544     14.41 0.00000 0.05867     14.18 -0.0070 -0.0182
  3.3000  0.5000    -45.00 4.25647 1.34563      0.00 0.00000 0.00000     13.79 -0.0069 -0.0182
  3.1000  0.7000    -45.00 4.51757 1.82129      0.00 0.00000 0.00000     15.95 -0.0075 -0.0180
  4.5000  0.1667     45.00 3.54268 0.56434      0.00 0.00000 0.00000     -1.42  0.0077  0.0129
  4.7000  0.1000     45.00 3.45637 0.59635      0.00 0.00000 0.00000     -2.25  0.0075  0.0130
  4.5000  0.3000     45.00 3.48455 0.45292      0.00 0.00000 0.00000     -1.52  0.0077  0.0129
  4.3000  0.1000     45.00 3.71862 0.73517      0.00 0.00000 0.00000     -1.32  0.0077  0.0129
  4.8333  0.5000     45.00 3.28366 0.79419      0.00 0.00000 0.00000     -5.97  0.0075 -0.0154
  4.9000  0.3000     45.00 3.11021 0.47399      0.00 0.00000 0.00000     -6.77  0.0077 -0.0153
  4.9000  0.7000     45.00 3.50366 1.21647      0.00 0.00000 0.00000     -8.23  0.0081 -0.0151
  4.7000  0.5000     45.00 3.32485 0.81034      0.00 0.00000 0.00000     -5.61  0.0074 -0.0154
  4.5000  0.8333     45.00 2.94428 0.74292      0.00 0.00000 0.00000     -2.84  0.0036  0.0163
  4.3000  0.9000     45.00 2.94997 0.65557      0.00 0.00000 0.00000     -1.98  0.0039  0.0162
  4.5000  0.7000     45.00 3.01623 0.88223      0.00 0.00000 0.00000     -2.66  0.0037  0.0162
  4.7000  0.9000     45.00 2.86217 0.61228      0.00 0.00000 0.00000     -3.42  0.0035  0.0163
  4.1667  0.5000    -45.00 3.40534 0.73032      0.00 0.00000 0.00000      2.88  0.0014 -0.0221
  4.1000  0.3000    -45.00 3.24340 0.34625      0.00 0.00000 0.00000      4.19  0.0009 -0.0221
  4.3000  0.5000    -45.00 3.37632 0.71163      0.00 0.00000 0.00000      2.76  0.0014 -0.0221
  4.1000  0.7000    -45.00 3.74264 1.27289      0.00 0.00000 0.00000      4.71  0.0007 -0.0221
  5.5000  0.1667     45.00 3.13526 0.92876      0.00 0.00000 0.00000    -13.83  0.0137  0.0116
  5.7000  0.1000     45.00 2.89543 0.84822      0.00 0.00000 0.00000    -15.74  0.0133  0.0121
