Time,   1.0000
     1,  EL1,      MATEL,   TAX2,   0,     0.5106,    0.0211, -6.911789e-19,  4.472146e-04, -6.911789e-14,  4.472146e+01,
     1,  EL1,      MATEL,   TAX2,   1,     0.5394,    0.0789, -6.911789e-19,  4.472146e-04, -6.911789e-14,  4.472146e+01,
     2,  EL1,      MATEL,   TAX2,   0,     0.5606,    0.1211, -1.219727e-19,  4.472146e-04, -1.219727e-14,  4.472146e+01,
     2,  EL1,      MATEL,   TAX2,   1,     0.5894,    0.1789, -1.219727e-19,  4.472146e-04, -1.219727e-14,  4.472146e+01,
     3,  EL1,      MATEL,   TAX2,   0,     0.6106,    0.2211,  2.710505e-20,  4.472146e-04,  2.710505e-15,  4.472146e+01,
     3,  EL1,      MATEL,   TAX2,   1,     0.6394,    0.2789,  2.710505e-20,  4.472146e-04,  2.710505e-15,  4.472146e+01,
     4,  EL1,      MATEL,   TAX2,   0,     0.6606,    0.3211, -5.421011e-20,  4.472146e-04, -5.421011e-15,  4.472146e+01,
     4,  EL1,      MATEL,   TAX2,   1,     0.6894,    0.3789, -5.421011e-20,  4.472146e-04, -5.421011e-15,  4.472146e+01,
     5,  EL1,      MATEL,   TAX2,   0,     0.7106,    0.4211,  0.000000e+00,  4.472146e-04,  0.000000e+00,  4.472146e+01,
     5,  EL1,      MATEL,   TAX2,   1,     0.7394,    0.4789,  0.000000e+00,  4.472146e-04,  0.000000e+00,  4.472146e+01,
     6,  EL1,      MATEL,   TAX2,   0,     0.7606,    0.5211, -3.252607e-19,  4.472146e-04, -3.252607e-14,  4.472146e+01,
     6,  EL1,      MATEL,   TAX2,   1,     0.7894,    0.5789, -3.252607e-19,  4.472146e-04, -3.252607e-14,  4.472146e+01,
     7,  EL1,      MATEL,   TAX2,   0,     0.8106,    0.6211, -1.084202e-19,  4.472146e-04, -1.084202e-14,  4.472146e+01,
     7,  EL1,      MATEL,   TAX2,   1,     0.8394,    0.6789, -1.084202e-19,  4.472146e-04, -1.084202e-14,  4.472146e+01,
     8,  EL1,      MATEL,   TAX2,   0,     0.8606,    0.7211, -4.336809e-19,  4.472146e-04, -4.336809e-14,  4.472146e+01,
     8,  EL1,      MATEL,   TAX2,   1,     0.8894,    0.7789, -4.336809e-19,  4.472146e-04, -4.336809e-14,  4.472146e+01,
     9,  EL1,      MATEL,   TAX2,   0,     0.9106,    0.8211, -4.336809e-19,  4.472146e-04, -4.336809e-14,  4.472146e+01,
     9,  EL1,      MATEL,   TAX2,   1,     0.9394,    0.8789, -4.336809e-19,  4.472146e-04, -4.336809e-14,  4.472146e+01,
    10,  EL1,      MATEL,   TAX2,   0,     0.9606,    0.9211, -3.252607e-19,  4.472146e-04, -3.252607e-14,  4.472146e+01,
    10,  EL1,      MATEL,   TAX2,   1,     0.9894,    0.9789, -3.252607e-19,  4.472146e-04, -3.252607e-14,  4.472146e+01,
