Time,   1.0000
     1,  EL1,      MATEL,   TAX2,   0,     0.5011,    0.0000, -2.644635e-06, -5.322127e-04, -2.644635e-01, -5.322127e+01,
     1,  EL1,      MATEL,   TAX2,   1,     0.5039,    0.0000, -2.644635e-06, -5.291792e-04, -2.644635e-01, -5.291792e+01,
     2,  EL1,      MATEL,   TAX2,   0,     0.5061,    0.0000, -7.821482e-06, -5.269912e-04, -7.821482e-01, -5.269912e+01,
     2,  EL1,      MATEL,   TAX2,   1,     0.5089,    0.0000, -7.821482e-06, -5.240464e-04, -7.821482e-01, -5.240464e+01,
     3,  EL1,      MATEL,   TAX2,   0,     0.5111,    0.0000, -1.284755e-05, -5.219222e-04, -1.284755e+00, -5.219222e+01,
     3,  EL1,      MATEL,   TAX2,   1,     0.5139,    0.0000, -1.284755e-05, -5.190628e-04, -1.284755e+00, -5.190628e+01,
     4,  EL1,      MATEL,   TAX2,   0,     0.5161,    0.0000, -1.772864e-05, -5.169999e-04, -1.772864e+00, -5.169999e+01,
     4,  EL1,      MATEL,   TAX2,   1,     0.5189,    0.0000, -1.772864e-05, -5.142225e-04, -1.772864e+00, -5.142225e+01,
     5,  EL1,      MATEL,   TAX2,   0,     0.5211,    0.0000, -2.247026e-05, -5.122185e-04, -2.247026e+00, -5.122185e+01,
     5,  EL1,      MATEL,   TAX2,   1,     0.5239,    0.0000, -2.247026e-05, -5.095202e-04, -2.247026e+00, -5.095202e+01,
     6,  EL1,      MATEL,   TAX2,   0,     0.5261,    0.0000, -2.707770e-05, -5.075729e-04, -2.707770e+00, -5.075729e+01,
     6,  EL1,      MATEL,   TAX2,   1,     0.5289,    0.0000, -2.707770e-05, -5.049505e-04, -2.707770e+00, -5.049505e+01,
     7,  EL1,      MATEL,   TAX2,   0,     0.5311,    0.0000, -3.155595e-05, -5.030578e-04, -3.155595e+00, -5.030578e+01,
     7,  EL1,      MATEL,   TAX2,   1,     0.5339,    0.0000, -3.155595e-05, -5.005087e-04, -3.155595e+00, -5.005087e+01,
     8,  EL1,      MATEL,   TAX2,   0,     0.5361,    0.0000, -3.590982e-05, -4.986685e-04, -3.590982e+00, -4.986685e+01,
     8,  EL1,      MATEL,   TAX2,   1,     0.5389,    0.0000, -3.590982e-05, -4.961899e-04, -3.590982e+00, -4.961899e+01,
     9,  EL1,      MATEL,   TAX2,   0,     0.5411,    0.0000, -4.014385e-05, -4.944004e-04, -4.014385e+00, -4.944004e+01,
     9,  EL1,      MATEL,   TAX2,   1,     0.5439,    0.0000, -4.014385e-05, -4.919896e-04, -4.014385e+00, -4.919896e+01,
    10,  EL1,      MATEL,   TAX2,   0,     0.5461,    0.0000, -4.426241e-05, -4.902489e-04, -4.426241e+00, -4.902489e+01,
    10,  EL1,      MATEL,   TAX2,   1,     0.5489,    0.0000, -4.426241e-05, -4.879036e-04, -4.426241e+00, -4.879036e+01,
    11,  EL1,      MATEL,   TAX2,   0,     0.5511,    0.0000, -4.826966e-05, -4.862100e-04, -4.826966e+00, -4.862100e+01,
    11,  EL1,      MATEL,   TAX2,   1,     0.5539,    0.0000, -4.826966e-05, -4.839277e-04, -4.826966e+00, -4.839277e+01,
    12,  EL1,      MATEL,   TAX2,   0,     0.5561,    0.0000, -5.216957e-05, -4.822795e-04, -5.216957e+00, -4.822795e+01,
    12,  EL1,      MATEL,   TAX2,   1,     0.5589,    0.0000, -5.216957e-05, -4.800581e-04, -5.216957e+00, -4.800581e+01,
    13,  EL1,      MATEL,   TAX2,   0,     0.5611,    0.0000, -5.596595e-05, -4.784536e-04, -5.596595e+00, -4.784536e+01,
    13,  EL1,      MATEL,   TAX2,   1,     0.5639,    0.0000, -5.596595e-05, -4.762909e-04, -5.596595e+00, -4.762909e+01,
    14,  EL1,      MATEL,   TAX2,   0,     0.5661,    0.0000, -5.966242e-05, -4.747286e-04, -5.966242e+00, -4.747286e+01,
    14,  EL1,      MATEL,   TAX2,   1,     0.5689,    0.0000, -5.966242e-05, -4.726226e-04, -5.966242e+00, -4.726226e+01,
    15,  EL1,      MATEL,   TAX2,   0,     0.5711,    0.0000, -6.326247e-05, -4.711011e-04, -6.326247e+00, -4.711011e+01,
    15,  EL1,      MATEL,   TAX2,   1,     0.5739,    0.0000, -6.326247e-05, -4.690498e-04, -6.326247e+00, -4.690498e+01,
    16,  EL1,      MATEL,   TAX2,   0,     0.5761,    0.0000, -6.676941e-05, -4.675676e-04, -6.676941e+00, -4.675676e+01,
    16,  EL1,      MATEL,   TAX2,   1,     0.5789,    0.0000, -6.676941e-05, -4.655691e-04, -6.676941e+00, -4.655691e+01,
    17,  EL1,      MATEL,   TAX2,   0,     0.5811,    0.0000, -7.018643e-05, -4.641249e-04, -7.018643e+00, -4.641249e+01,
    17,  EL1,      MATEL,   TAX2,   1,     0.5839,    0.0000, -7.018643e-05, -4.621775e-04, -7.018643e+00, -4.621775e+01,
    18,  EL1,      MATEL,   TAX2,   0,     0.5861,    0.0000, -7.351658e-05, -4.607700e-04, -7.351658e+00, -4.607700e+01,
    18,  EL1,      MATEL,   TAX2,   1,     0.5889,    0.0000, -7.351658e-05, -4.588719e-04, -7.351658e+00, -4.588719e+01,
    19,  EL1,      MATEL,   TAX2,   0,     0.5911,    0.0000, -7.676278e-05, -4.574999e-04, -7.676278e+00, -4.574999e+01,
    19,  EL1,      MATEL,   TAX2,   1,     0.5939,    0.0000, -7.676278e-05, -4.556494e-04, -7.676278e+00, -4.556494e+01,
    20,  EL1,      MATEL,   TAX2,   0,     0.5961,    0.0000, -7.992782e-05, -4.543117e-04, -7.992782e+00, -4.543117e+01,
    20,  EL1,      MATEL,   TAX2,   1,     0.5989,    0.0000, -7.992782e-05, -4.525073e-04, -7.992782e+00, -4.525073e+01,
    21,  EL1,      MATEL,   TAX2,   0,     0.6011,    0.0000, -8.301439e-05, -4.512027e-04, -8.301439e+00, -4.512027e+01,
    21,  EL1,      MATEL,   TAX2,   1,     0.6039,    0.0000, -8.301439e-05, -4.494429e-04, -8.301439e+00, -4.494429e+01,
    22,  EL1,      MATEL,   TAX2,   0,     0.6061,    0.0000, -8.602506e-05, -4.481704e-04, -8.602506e+00, -4.481704e+01,
    22,  EL1,      MATEL,   TAX2,   1,     0.6089,    0.0000, -8.602506e-05, -4.464536e-04, -8.602506e+00, -4.464536e+01,
    23,  EL1,      MATEL,   TAX2,   0,     0.6111,    0.0000, -8.896231e-05, -4.452122e-04, -8.896231e+00, -4.452122e+01,
    23,  EL1,      MATEL,   TAX2,   1,     0.6139,    0.0000, -8.896231e-05, -4.435371e-04, -8.896231e+00, -4.435371e+01,
    24,  EL1,      MATEL,   TAX2,   0,     0.6161,    0.0000, -9.182849e-05, -4.423258e-04, -9.182849e+00, -4.423258e+01,
