Time,   1.0000
     1,  EL1,      MATEL,   TAX3,   0,     0.5011,    0.0000, -3.515721e-07, -5.321976e-04, -3.515721e-02, -5.321976e+01,
     1,  EL1,      MATEL,   TAX3,   1,     0.5039,    0.0000, -4.924461e-06, -5.291868e-04, -4.924461e-01, -5.291868e+01,
     2,  EL1,      MATEL,   TAX3,   0,     0.5061,    0.0000, -5.588171e-06, -5.269768e-04, -5.588171e-01, -5.269768e+01,
     2,  EL1,      MATEL,   TAX3,   1,     0.5089,    0.0000, -1.004195e-05, -5.240539e-04, -1.004195e+00, -5.240539e+01,
     3,  EL1,      MATEL,   TAX3,   0,     0.5111,    0.0000, -1.067175e-05, -5.219084e-04, -1.067175e+00, -5.219084e+01,
     3,  EL1,      MATEL,   TAX3,   1,     0.5139,    0.0000, -1.501089e-05, -5.190701e-04, -1.501089e+00, -5.190701e+01,
     4,  EL1,      MATEL,   TAX3,   0,     0.5161,    0.0000, -1.560822e-05, -5.169866e-04, -1.560822e+00, -5.169866e+01,
     4,  EL1,      MATEL,   TAX3,   1,     0.5189,    0.0000, -1.983697e-05, -5.142297e-04, -1.983697e+00, -5.142297e+01,
     5,  EL1,      MATEL,   TAX3,   0,     0.5211,    0.0000, -2.040319e-05, -5.122058e-04, -2.040319e+00, -5.122058e+01,
     5,  EL1,      MATEL,   TAX3,   1,     0.5239,    0.0000, -2.452561e-05, -5.095272e-04, -2.452561e+00, -5.095272e+01,
     6,  EL1,      MATEL,   TAX3,   0,     0.5261,    0.0000, -2.506203e-05, -5.075607e-04, -2.506203e+00, -5.075607e+01,
     6,  EL1,      MATEL,   TAX3,   1,     0.5289,    0.0000, -2.908198e-05, -5.049574e-04, -2.908198e+00, -5.049574e+01,
     7,  EL1,      MATEL,   TAX3,   0,     0.5311,    0.0000, -2.958984e-05, -5.030461e-04, -2.958984e+00, -5.030461e+01,
     7,  EL1,      MATEL,   TAX3,   1,     0.5339,    0.0000, -3.351101e-05, -5.005154e-04, -3.351101e+00, -5.005154e+01,
     8,  EL1,      MATEL,   TAX3,   0,     0.5361,    0.0000, -3.399149e-05, -4.986573e-04, -3.399149e+00, -4.986573e+01,
     8,  EL1,      MATEL,   TAX3,   1,     0.5389,    0.0000, -3.781740e-05, -4.961964e-04, -3.781740e+00, -4.961964e+01,
     9,  EL1,      MATEL,   TAX3,   0,     0.5411,    0.0000, -3.827162e-05, -4.943896e-04, -3.827162e+00, -4.943896e+01,
     9,  EL1,      MATEL,   TAX3,   1,     0.5439,    0.0000, -4.200563e-05, -4.919960e-04, -4.200563e+00, -4.919960e+01,
    10,  EL1,      MATEL,   TAX3,   0,     0.5461,    0.0000, -4.243467e-05, -4.902386e-04, -4.243467e+00, -4.902386e+01,
    10,  EL1,      MATEL,   TAX3,   1,     0.5489,    0.0000, -4.607999e-05, -4.879099e-04, -4.607999e+00, -4.879099e+01,
    11,  EL1,      MATEL,   TAX3,   0,     0.5511,    0.0000, -4.648487e-05, -4.862000e-04, -4.648487e+00, -4.862000e+01,
    11,  EL1,      MATEL,   TAX3,   1,     0.5539,    0.0000, -5.004458e-05, -4.839339e-04, -5.004458e+00, -4.839339e+01,
    12,  EL1,      MATEL,   TAX3,   0,     0.5561,    0.0000, -5.042626e-05, -4.822699e-04, -5.042626e+00, -4.822699e+01,
    12,  EL1,      MATEL,   TAX3,   1,     0.5589,    0.0000, -5.390328e-05, -4.800641e-04, -5.390328e+00, -4.800641e+01,
