SimFem  ../_DataBeams/E3-02_B21
symmetric system True, used LinAlg2 True, used ConFemMatC True, used CaeFemElemC True
ndofs 33, elems 10, active nodes 11, abs.size 0.15 MItems, rel.size 0.1433 (abs.size/(ndofs**2)
used material MAT1, spec. inertial mass 0.00e+00, type RCBEAM
0 step starts, solution type NR
0   1 1.000 0.10000 iter 0 6.000000e-03
0   1 1.000 0.10000 iter 1 2.219150e-02
0   1 1.000 0.10000 iter 2 6.443466e-03
0   1 1.000 0.10000 iter 3 2.174056e-04
0   1 1.000 0.10000 iter 4 2.513856e-07
0   2 1.000 0.20000 iter 0 6.000000e-03
0   2 1.000 0.20000 iter 1 1.311414e-03
0   2 1.000 0.20000 iter 2 5.974403e-06
0   3 1.000 0.30000 iter 0 6.000003e-03
0   3 1.000 0.30000 iter 1 1.370005e-03
0   3 1.000 0.30000 iter 2 1.203954e-06
0   4 1.000 0.40000 iter 0 6.000000e-03
0   4 1.000 0.40000 iter 1 1.428600e-03
0   4 1.000 0.40000 iter 2 6.275136e-07
0   5 1.000 0.50000 iter 0 6.000000e-03
0   5 1.000 0.50000 iter 1 1.501707e-03
0   5 1.000 0.50000 iter 2 7.023994e-06
0   6 1.000 0.60000 iter 0 6.000004e-03
0   6 1.000 0.60000 iter 1 1.584264e-03
0   6 1.000 0.60000 iter 2 1.857256e-06
0   7 1.000 0.70000 iter 0 6.000000e-03
0   7 1.000 0.70000 iter 1 1.688246e-03
0   7 1.000 0.70000 iter 2 2.757487e-06
0   8 1.000 0.80000 iter 0 6.000001e-03
0   8 1.000 0.80000 iter 1 1.818023e-03
0   8 1.000 0.80000 iter 2 4.058423e-06
0   9 1.000 0.90000 iter 0 6.000001e-03
0   9 1.000 0.90000 iter 1 1.984076e-03
0   9 1.000 0.90000 iter 2 5.982976e-06
0  10 1.000 1.00000 iter 0 6.000003e-03
0  10 1.000 1.00000 iter 1 2.204573e-03
0  10 1.000 1.00000 iter 2 1.375108e-05
total comp time 0 seconds
