SimFem  ../_DataBeams/E3-02_B23
symmetric system True, used LinAlg2 True, used ConFemMatC True, used CaeFemElemC True
ndofs 33, elems 10, active nodes 11, abs.size 0.15 MItems, rel.size 0.1433 (abs.size/(ndofs**2)
used material MAT1, spec. inertial mass 2.50e-03, type RCBEAM
0 step starts, solution type NR
0   1 1.000 0.10000 iter 0 6.001157e-03
0   1 1.000 0.10000 iter 1 2.213802e-02
0   1 1.000 0.10000 iter 2 6.188426e-03
0   1 1.000 0.10000 iter 3 2.167547e-04
0   1 1.000 0.10000 iter 4 2.491762e-06
0   2 1.000 0.20000 iter 0 6.001677e-03
0   2 1.000 0.20000 iter 1 1.324826e-03
0   2 1.000 0.20000 iter 2 2.871723e-06
0   3 1.000 0.30000 iter 0 6.001162e-03
0   3 1.000 0.30000 iter 1 1.371220e-03
0   3 1.000 0.30000 iter 2 1.320536e-06
0   4 1.000 0.40000 iter 0 6.001195e-03
0   4 1.000 0.40000 iter 1 1.436148e-03
0   4 1.000 0.40000 iter 2 8.827538e-07
0   5 1.000 0.50000 iter 0 6.001197e-03
0   5 1.000 0.50000 iter 1 1.507190e-03
0   5 1.000 0.50000 iter 2 1.279669e-06
0   6 1.000 0.60000 iter 0 6.001163e-03
0   6 1.000 0.60000 iter 1 1.592625e-03
0   6 1.000 0.60000 iter 2 2.120992e-06
0   7 1.000 0.70000 iter 0 6.001091e-03
0   7 1.000 0.70000 iter 1 1.697525e-03
0   7 1.000 0.70000 iter 2 1.352082e-05
0   8 1.000 0.80000 iter 0 6.001179e-03
0   8 1.000 0.80000 iter 1 1.828807e-03
0   8 1.000 0.80000 iter 2 4.271578e-06
0   9 1.000 0.90000 iter 0 6.001166e-03
0   9 1.000 0.90000 iter 1 1.997445e-03
0   9 1.000 0.90000 iter 2 6.264476e-06
0  10 1.000 1.00000 iter 0 6.001168e-03
0  10 1.000 1.00000 iter 1 2.221447e-03
0  10 1.000 1.00000 iter 2 4.350207e-05
total comp time 0 seconds
