Time,   1.0000
     1, PROP1,       MAT1,   T3D3,   0,     0.1057,    0.1057,    0.2113,  3.356432e-02,  3.356432e+01,
     1, PROP1,       MAT1,   T3D3,   1,     0.3943,    0.3943,    0.7887,  3.356432e-02,  3.356432e+01,
     2, PROP1,       MAT1,   T3D3,   0,     0.2634,    0.5000,    0.2113, -1.271636e-01, -1.271636e+02,
     2, PROP1,       MAT1,   T3D3,   1,     0.4366,    0.5000,    0.7887, -1.271636e-01, -1.271636e+02,
     3, PROP1,       MAT1,   T3D3,   0,     0.8943,    0.2634,    0.2113, -5.287292e-02, -5.287292e+01,
     3, PROP1,       MAT1,   T3D3,   1,     0.6057,    0.4366,    0.7887, -5.287292e-02, -5.287292e+01,
Time,   2.0232
     1, PROP1,       MAT1,   T3D3,   0,     0.1057,    0.1057,    0.2113,  4.615093e-02,  4.615093e+01,
     1, PROP1,       MAT1,   T3D3,   1,     0.3943,    0.3943,    0.7887,  4.615093e-02,  4.615093e+01,
     2, PROP1,       MAT1,   T3D3,   0,     0.2634,    0.5000,    0.2113, -1.748500e-01, -1.748500e+02,
     2, PROP1,       MAT1,   T3D3,   1,     0.4366,    0.5000,    0.7887, -1.748500e-01, -1.748500e+02,
     3, PROP1,       MAT1,   T3D3,   0,     0.8943,    0.2634,    0.2113, -7.270027e-02, -7.270027e+01,
     3, PROP1,       MAT1,   T3D3,   1,     0.6057,    0.4366,    0.7887, -7.270027e-02, -7.270027e+01,
